,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
46,Victor Oladipo,21000000,21000000,27,IND,13,25.9,5.3,0.304,3.2,0.2,0.8,3.0,2.2,13.8,12.0,0.5,-0.3,0.4,0.1,-1.7,-1.3,-3.0,-0.1
47,Malcolm Brogdon,20000000,20700000,27,IND,48,30.7,4.1,0.313,4.7,0.2,0.7,7.1,2.4,16.3,17.8,0.537,2.0,1.4,3.5,2.2,-0.5,1.7,1.4
48,Terry Rozier,19894737,18900000,25,CHO,63,34.3,6.7,0.40700000000000003,4.4,0.2,1.0,4.1,2.2,18.0,14.9,0.5529999999999999,1.9,1.1,3.0,0.8,-1.3,-0.4,0.8
49,Aaron Gordon,19863636,18136364,24,ORL,58,33.0,3.9,0.301,7.6,0.6,0.9,3.7,1.6,14.4,14.8,0.511,1.2,2.2,3.3,-0.3,0.1,-0.3,0.8
50,Zach LaVine,19500000,19500000,24,CHI,60,34.8,8.1,0.38,4.8,0.5,1.5,4.2,3.4,25.5,19.5,0.568,1.8,2.2,4.0,3.3,-0.8,2.5,2.4
51,Kent Bazemore,19269662,0,30,TOT,64,25.1,3.6,0.342,4.3,0.6,1.1,1.3,1.3,8.7,9.2,0.5,-0.8,1.5,0.7,-3.4,0.4,-3.0,-0.4
52,Tyler Johnson,19245370,0,27,PHO,31,16.6,2.7,0.289,1.7,0.3,0.4,1.6,0.8,5.7,8.1,0.48100000000000004,-0.2,0.3,0.1,-3.0,-0.7,-3.7,-0.2
53,Goran DragiÃ„â€¡,19217900,0,33,MIA,54,28.4,5.8,0.377,3.1,0.1,0.6,5.1,2.5,16.1,15.9,0.5710000000000001,2.0,1.1,3.0,1.4,-1.9,-0.5,0.6
54,Jeff Teague,19000000,0,31,TOT,59,24.8,2.0,0.368,2.4,0.3,0.7,5.2,2.0,10.9,14.6,0.557,1.9,0.6,2.5,-0.2,-1.3,-1.5,0.2
55,Evan Turner,18606557,0,31,ATL,19,13.2,0.3,0.0,2.0,0.4,0.5,2.0,1.4,3.3,6.8,0.424,-0.5,0.1,-0.3,-4.9,-0.7,-5.6,-0.2
56,Draymond Green,18539130,22246956,29,GSW,43,28.4,3.0,0.27899999999999997,6.2,0.8,1.4,6.2,2.3,8.0,12.6,0.489,-0.2,1.3,1.1,-2.0,1.9,-0.2,0.6
57,Tristan Thompson,18539130,0,28,CLE,57,30.2,0.4,0.391,10.1,0.9,0.6,2.1,1.8,12.0,16.8,0.54,2.0,1.1,3.1,-0.2,-1.3,-1.5,0.2
58,Myles Turner,18000000,18000000,23,IND,55,29.6,4.2,0.336,6.5,2.2,0.8,1.1,1.2,11.8,14.7,0.561,1.0,2.8,3.7,-0.9,1.1,0.2,0.9
